id,nombre,imagen,calificacion
60,Mario Power Tennis,https://media.vandal.net/100/2742/2005121602829_1b.jpg,8.1
61,Megaman Zero 4,https://media.vandal.net/100/4210/20051027223025_1b.jpg,8.1
62,El Señor de los Anillos: El Retorno del Rey,https://media.vandal.net/100/1891/201262395521_1b.jpg,8.05
63,Dragon Ball: Advance Adventure,https://media.vandal.net/100/3803/2005720183322_1b.jpg,8.02
64,Ninja Cop,https://media.vandal.net/100/1810/ninja-cop-2014318161439_1b.jpg,7.97
65,V-Rally 3,https://media.vandal.net/100/968/vrally-3-201961016222086_1b.jpg,7.95
66,Stuntman,https://media.vandal.net/100/2895/20038721517_1b.jpg,7.94
67,Final Fantasy I & II: Dawn of Souls,https://media.vandal.net/100/3351/2004121622585_1b.jpg,7.93
68,Super Monkey Ball Jr.,https://media.vandal.net/100/1148/20035921129_1b.jpg,7.85
69,Hamtaro: Ham-Ham Heartbreak,https://media.vandal.net/100/2032/hamtaro-hamham-heartbreak-201432012547_1b.jpg,7.85
70,Rayman Advance,https://media.vandal.net/100/27/rayman-advance-201961114112360_1b.jpg,7.79
71,Megaman Battle Network 3 Blue & White,https://media.vandal.net/100/1209/200397232434_1b.jpg,7.77
72,Castlevania: Circle of the Moon,https://media.vandal.net/100/28/castlevania-circle-of-the-moon-2019681817394_1b.jpg,7.75
73,Yoshi's Universal Gravitation,https://media.vandal.net/100/4415/2005429232348_1b.jpg,7.75
74,Super Mario Advance,https://media.vandal.net/100/14/super-mario-advance-20196111485154_1b.jpg,7.74
75,Dragon Ball Z: Supersonic Warriors,https://media.vandal.net/100/3426/200492922623_1b.jpg,7.74
76,El Señor de los Anillos: Las Dos Torres,https://media.vandal.net/100/1260/el-senor-de-los-anillos-las-dos-torres-20196101617395_1b.jpg,7.73
77,Bubble Bobble: Old & New,https://media.vandal.net/100/1620/bubble-bobble-old-new-2019681812263_1b.jpg,7.7
78,Bomberman Tournament,https://media.vandal.net/100/1220/bomberman-tournament-20196818112385_1b.jpg,7.67
79,Virtua Tennis,https://media.vandal.net/100/1146/virtua-tennis-201389165817_1b.jpg,7.64
80,Banjo Kazooie: La Venganza de Grunty,https://media.vandal.net/100/671/2003121334743_1b.jpg,7.44
81,Los Sims Toman la Calle,https://media.vandal.net/100/2068/los-sims-toman-la-calle-201449113125_1b.jpg,7.44
82,Pac-Man Collection,https://media.vandal.net/100/1495/pacman-collection-201961016212179_1b.jpg,7.41
83,Lady Sia,https://media.vandal.net/100/867/lady-sia-20196111417131_1b.jpg,7.4
84,Disney's Aladdin,https://media.vandal.net/100/1886/200442915454_1b.jpg,7.4
85,Crash Bandicoot XS,https://media.vandal.net/100/795/crash-bandicoot-xs-20196818215011_1b.jpg,7.37
86,Pokémon Mystery Dungeon: Red Rescue Team,https://media.vandal.net/100/4994/pokemon-mystery-dungeon-red-rescue-team-201421513557_1b.jpg,7.28
87,Grand Theft Auto,https://media.vandal.net/100/3852/20041111233129_1b.jpg,7.23
88,Pokemon Pinball: Rubí & Zafiro,https://media.vandal.net/100/1991/pokemon-pinball-rubi-zafiro-201421093759_1b.jpg,7.22
89,Sonic Pinball Party,https://media.vandal.net/100/1637/sonic-pinball-party-201422113386_1b.jpg,6.97
90,Tekken Advance,https://media.vandal.net/100/802/tekken-advance-201961016202376_1b.jpg,6.93
91,CT Special Forces: Back To Hell,https://media.vandal.net/100/2389/ct-special-forces-back-to-hell-2014418165336_1b.jpg,6.84
92,Spyro: Season of Ice,https://media.vandal.net/100/475/spyro-season-of-ice-201961016215762_1b.jpg,6.82
93,Dave Mirra FreeStyle BMX 2,https://media.vandal.net/100/1014/dave-mirra-freestyle-bmx-2-2016105184937_1b.jpg,6.77
94,Splinter Cell,https://media.vandal.net/100/1647/2013711191013_1b.jpg,6.71
95,Super Dodgeball Advance,https://media.vandal.net/100/866/super-dodgeball-advance-20196111415622_1b.jpg,6.64
96,Super Mario Ball,https://media.vandal.net/100/3801/2004122342658_1b.jpg,6.58
97,Harry Potter y el Prisionero de Azkaban,https://media.vandal.net/100/3308/2004615233158_1b.jpg,6.55
98,Turok Evolution,https://media.vandal.net/100/1540/turok-evolution-201961016184373_1b.jpg,6.51
99,Sonic Battle,https://media.vandal.net/100/1900/200442214249_1b.jpg,6.51
100,Tetris Worlds,https://media.vandal.net/100/1134/tetris-worlds-201961114181244_1b.jpg,6.5
